,date,title,URL
0,"September 22, 2022",Newly Declared Coastal Conservation Area in Ecuador Protects Primary Water Source for Entire Province,https://www.natureandculture.org/newly-declared-santa-elena-protected-area/
1,"September 20, 2022",Nuevas Áreas Provinciales De Conservación En Santa Elena,https://www.natureandculture.org/nuevas-areas-de-conservacion-santa-elena/
2,"July 28, 2022",Tiwi Nunka se convierte en la primera Área de Conservación manejada por una nacionalidad en el Sistema Nacional de Áreas Protegidas,https://www.natureandculture.org/tiwi-nunka-se-convierte-en-la-primera-area-de-conservacion-manejada-por-una-nacionalidad-en-el-snap/
3,"July 22, 2022",First Indigenous-Led Conservation Area in Ecuador Announced,https://www.natureandculture.org/first-indigenous-conservation-area-announced/
4,"July 7, 2022",Pronunciamiento Ante la Situación Actual y los Últimos Acontecimientos Ocurridos en Ecuador,https://www.natureandculture.org/naturaleza-y-cultura-sobre-eventos-actuales-ecuador/
5,"June 30, 2022",Nature and Culture International is Recognized as a Highly-Rated Environmental Non-Profit,https://www.natureandculture.org/highly-rated-environmental-nonprofit/
6,"June 23, 2022",Loja Expands its Municipal Conservation and Sustainable Use Areas,https://www.natureandculture.org/loja-expanded-conservation-area/
7,"June 2, 2022",Nature and Culture’s 2022 Newsletter: A Roundup of Conservation in Action,https://www.natureandculture.org/2022-biannual-newsletter-a-roundup-of-conservation-in-action/
8,"May 12, 2022",New Quilanga Municipal Conservation Area Preserves Water Sources and Biodiversity,https://www.natureandculture.org/new-municipal-conservation-area-quilanga-preserves-water-sources-and-biodiversity/
9,"March 18, 2022","Ecuador’s Zamora Chinchipe and Morona Santiago provinces accepted into  GCF, advancing Amazonian Platform",https://www.natureandculture.org/ecuadors-zamora-chinchipe-and-morona-santiago-provinces-accepted-into-gcf-advancing-amazonian-platform/
10,"March 9, 2022",Critical Páramo Ecosystem Receives Highest Legal Protection in Ecuadorian Andes,https://www.natureandculture.org/gallocantana-conservation-area/
11,"January 19, 2022",New Water Protection Area safeguards water for Indigenous Guarancas Kichwa,https://www.natureandculture.org/new-water-protection-area-safeguards-water-for-indigenous-guarancas-kichwa/
12,"January 14, 2022",Three Amazonian Provinces take the first step to create the largest biological corridor of continuous forest in Ecuador,https://www.natureandculture.org/three-amazonian-provinces-take-the-first-step-to-create-the-largest-biological-corridor-of-continuous-forest-in-ecuador/
13,"December 10, 2021",An Expedition into the Aliwa Rainforest: Safeguarding the Biocultural Heritage of the Aliwa-Cupepe Indigenous Community,https://www.natureandculture.org/safeguarding-the-biocultural-heritage-of-the-aliwa-indigenous-community/
14,"August 10, 2021",The Andwa: A Resurging Indigenous Nationality,https://www.natureandculture.org/watch-andwa-recording/
15,"July 28, 2021",Protecting Rare Bamboo Forests and Threatened Wildlife in Peru’s Amazon,https://www.natureandculture.org/cata-declaration/
16,"July 21, 2021","A New Protected Area Secures Water Supplies for 39,000 People",https://www.natureandculture.org/mojanda/
17,"July 2, 2021",A Conservation Area Receives Highest Level of Legal Protection in Ecuador,https://www.natureandculture.org/mazan-upgraded/
18,"June 22, 2021","Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area",https://www.natureandculture.org/elguabo/
19,"June 11, 2021",A Roadmap to Hope: Ecuador Approves REDD+ Implementation Plan to Reduce Deforestation and Forest Degradation in Pastaza,https://www.natureandculture.org/reddplan-pastaza/
20,"May 28, 2021","Indigenous Shuar Gain Title to 14,000 Acres of Ancestral Territory",https://www.natureandculture.org/shuar-titling/
21,"May 19, 2021",Protecting a Biological Hotspot from Mining,https://www.natureandculture.org/yacuambi/
22,"May 14, 2021",A New Conservation Area in South America’s “Grand Canyon”,https://www.natureandculture.org/maranon-rca/
23,"May 10, 2021",Two New Water Protection Areas in Ecuador,https://www.natureandculture.org/new-wpas/
24,"May 6, 2021",A New Conservation Area in the Peruvian Andes,https://www.natureandculture.org/jaen-y-tabaconas/
25,"April 20, 2021",The Story of Chakishca: A Puma Cub Rescued in Ecuador,https://www.natureandculture.org/chakishca/
26,"April 19, 2021",Serranía Incahuasi Natural Area: Protecting Bolivia’s Diverse & Threatened Habitat,https://www.natureandculture.org/serrania-incahuasi/
27,"April 15, 2021",Donor Impact Report: Spring 2021,https://www.natureandculture.org/report-spring2021/
28,"April 8, 2021",New Map Identifies Areas of Water Importance in Ecuador,https://www.natureandculture.org/water-map/
29,"March 31, 2021",Expanding protected habitat for wildlife in the Peruvian Andes,https://www.natureandculture.org/lajalcaexpansion/
30,"March 10, 2021",Protecting intact habitat in the Tropical Andes,https://www.natureandculture.org/tropical-andes-conservation/
31,"February 25, 2021","Same Impact, New Look",https://www.natureandculture.org/new-look/
32,"February 25, 2021",Your impact in 2020,https://www.natureandculture.org/2020-annual-impact-report/
33,"February 2, 2021",Empowering the Kichwas of Napo,https://www.natureandculture.org/napokichwa-land-titles/
34,"January 27, 2021",The First Water Protection Area in Southern Ecuador,https://www.natureandculture.org/santa-rosa/
35,"January 20, 2021","Safeguarding Water Supplies for 500,000 People",https://www.natureandculture.org/cuenca-acmus/
36,"December 21, 2020",Saving Habitat in Southern Ecuador,https://www.natureandculture.org/zamora/
37,"December 16, 2020",Connecting Ecosystems from the Andes to the Amazon,https://www.natureandculture.org/palora/
38,"December 3, 2020",A Birder’s Paradise Protected in Peru,https://www.natureandculture.org/unchog/
39,"November 24, 2020",Nature and Culture’s YouTube Channel,https://www.natureandculture.org/youtube/
40,"November 13, 2020",Un-BEE-lievable news in Ecuador,https://www.natureandculture.org/puyango-expansion/
41,"November 6, 2020",CEO Statement on the Amazon Fires,https://www.natureandculture.org/amazon-fires-2020/
42,"November 4, 2020",Fighting deforestation in Bolivia,https://www.natureandculture.org/serranias-de-iguembe/
43,"October 27, 2020",Saving Wildlife and Water Resources,https://www.natureandculture.org/loja-area/
44,"October 20, 2020",Donor Impact Report: Nature’s Greatest Guardians,https://www.natureandculture.org/fall2020-donorimpactreport/
45,"October 16, 2020","The first state reserve in Sinaloa, Mexico",https://www.natureandculture.org/sierra-de-tacuichamona/
46,"October 7, 2020",Your generosity at work in the Amazon Rainforest,https://www.natureandculture.org/pakayaku-support/
47,"September 18, 2020",Spotted! Endangered tapir in Conservation Area,https://www.natureandculture.org/tapir-spotted/
48,"September 10, 2020",Your generosity at work in the Bolivian Chaco,https://www.natureandculture.org/donate-to-heal/
49,"August 18, 2020",Municipal Protected Area expanded in Ecuador’s most threatened ecosystem,https://www.natureandculture.org/paltas-expanded/
50,"August 13, 2020","Your impact in Roraima, Brazil",https://www.natureandculture.org/roraima-support/
51,"August 5, 2020","Thanks to your support, Ecuador expands its newest national park!",https://www.natureandculture.org/rio-negro-sopladora-expanded/
52,"July 22, 2020",Ecuador declares the first connectivity corridor in the country,https://www.natureandculture.org/sangay-podocarpus/
53,"July 17, 2020",A milestone for conservation in Peru,https://www.natureandculture.org/milestone-in-peru/
54,"July 10, 2020",Helping nature’s greatest guardians,https://www.natureandculture.org/supporting-shuar/
55,"June 19, 2020",Study by Nature and Culture identifies priority conservation areas,https://www.natureandculture.org/el-oro-study/
56,"June 4, 2020","Your Generosity at work in El Sabinito Sur, Mexico",https://www.natureandculture.org/mexico-covid-support/
57,"June 4, 2020","A message on diversity, equity, and inclusion",https://www.natureandculture.org/inclusion/
58,"May 28, 2020","Supporting community partners in Cazaderos, Ecuador",https://www.natureandculture.org/cazaderos-support/
59,"May 22, 2020",Conserving connectivity in Ecuador,https://www.natureandculture.org/ecuador-connectivity-corridors/
60,"May 20, 2020",A fisherman’s fight against COVID-19,https://www.natureandculture.org/covid-19-piura/
61,"May 3, 2020",COVID-19 Update: Indigenous & Rural Communities,https://www.natureandculture.org/covid19-update/
62,"April 10, 2020",Biodiversity & Your Health,https://www.natureandculture.org/biodiversity-covid-19/
63,"April 8, 2020",Nature Is Calling: The Climate Issue,https://www.natureandculture.org/2020-spring-newsletter/
64,"March 31, 2020",We are in this together,https://www.natureandculture.org/covid19/
