,name,id,page_rank,community
0,global carbon,1,1,1
1,energy,2,43,1
2,fuel,3,1,1
3,measurement,4,2,1
4,bit,5,2,1
5,designs,6,1,1
6,precipitation with global,7,1,1
7,feminism,8,1,1
8,nature,9,22,1
9,s.,10,1,1
10,outside,11,3,1
11,putin,12,1,1
12,global measurement,13,1,1
13,deforestation,14,12,1
14,heat the,15,1,1
15,originate,16,1,1
16,endangered,17,1,1
17,bushfire,18,1,1
18,location,19,1,1
19,sea.,20,5,1
20,experimental,21,3,1
21,island,22,5,1
22,fails,23,1,1
23,reserve,24,19,1
24,missions,25,19,1
25,institute,26,1,1
26,ecosystem,27,11,1
27,fossil capital,28,1,1
28,conserving,29,1,1
29,global concentrations,30,1,1
30,biosphere,31,1,1
31,galactic,32,1,1
32,changing,33,2,1
33,continent,34,3,1
34,global south,35,1,1
35,proven,36,2,1
36,bp,37,1,1
37,sea water,38,1,1
38,forest,39,32,1
39,c,40,2,1
40,ai,41,1,1
41,level,42,4,1
42,elections,43,1,1
43,precipitation locally,44,1,1
44,carbon absorption,45,1,1
45,global survey,46,2,1
46,environmental,47,18,1
47,sustainability,48,1,1
48,find,49,9,1
49,carbon was,50,1,1
50,scientist,51,4,1
51,northwest,52,7,1
52,earth,53,315,1
53,fossil fuels,54,5,1
54,wildfire,55,10,1
55,biden,56,3,1
56,total,57,1,1
57,figured,58,1,1
58,vital,59,4,1
59,beaches,60,1,1
60,ecosystem,61,11,1
61,production,62,1,1
62,ecosystem,63,11,1
63,global outlook,64,1,1
64,aerosols,65,9,1
65,tailpipe,66,1,1
66,explain,67,1,1
67,glaciers,68,4,1
68,institutions,69,3,1
69,sea-,70,4,1
70,arabia,71,1,1
71,sea to,72,2,1
72,ecological,73,3,1
73,exxonmobil,74,2,1
74,unexplained,75,1,1
75,harris,76,1,1
76,equity,77,2,1
77,moisture,78,4,1
78,earth,79,315,1
79,awards,80,4,1
80,1/2,81,1,1
81,row,82,3,1
82,birds,83,2,1
83,words,84,1,1
84,glacial,85,1,1
85,carbon stored,86,3,1
86,heat between,87,1,1
87,shores,88,2,1
88,oceans,89,33,1
89,global response,90,1,1
90,climate,91,381,1
91,famous,92,1,1
92,precipitation and,93,1,1
93,carbon footprint,94,1,1
94,clearest,95,1,1
