,name,id
0,bushfire,1
1,Sustainable Development,2
2,Antarctic,3
3,low levels,4
4,North,5
5,motion,6
6,carbon is,7
7,carbon scrubbers,8
8,120,9
9,consistent,10
10,Orbit,11
11,Francisco,12
12,Fires,13
13,Carbon Observatory,14
14,environmental,15
15,Global Precipitation,16
16,feature,17
17,precipitation,18
18,originate,19
19,Freilich,20
20,firm,21
21,levels,22
22,tech,23
23,Hawthorne,24
24,Vital,25
25,heat,26
26,positioned,27
27,luminosity,28
28,fall,29
29,heat during,30
30,GreenFreeze,31
31,Conservation,32
32,happy,33
33,Boulder,34
34,global impacts,35
35,Glenn,36
36,expectations,37
37,global transport,38
38,Reserve,39
39,violating,40
40,equally,41
41,planet,42
42,changing,43
43,extra,44
44,global survey,45
45,Sea surface,46
46,atmosphere,47
47,Rainforest,48
48,global measurement,49
49,scientist,50
50,drifting,51
51,65,52
52,designs,53
53,bump,54
54,carbon balance,55
55,70,56
56,whether,57
57,nature,58
58,Diverse,59
59,sea.,60
60,G19 resolve,61
61,glaciers,62
62,hazards,63
63,ClickClean,64
64,insider,65
65,Bight,66
66,carbon fluctuations,67
67,poring,68
68,carbon cycle,69
69,Putin,70
70,conditions,71
71,Flooded,72
72,pores,73
73,clearest,74
74,ecosystem,75
75,carbon was,76
76,row,77
77,Wildfires,78
78,deltas,79
79,vital,80
80,CERES,81
81,contracted,82
82,3:37,83
83,heat and,84
84,green,85
85,Aerospace,86
86,electromagnetic,87
87,EST,88
88,IEA,89
89,ISS,90
90,famous,91
91,polar,92
92,carbon.,93
93,weather,94
94,Biosphere,95
95,forests,96
96,suggest,97
97,ozone,98
98,"carbon,",99
99,shores,100
100,biodiversity,101
101,RapidScat,102
102,carbon neutrality,103
103,Global Climate,104
104,glacial,105
105,promise,106
106,its levels,107
107,Ríos,108
108,firefighters,109
109,glacier,110
110,C,111
111,songbirds,112
112,global issue,113
113,points,114
114,Ellington,115
115,father,116
116,Global protests,117
117,deadliest,118
118,Applications,119
119,Biodiversity,120
120,deforestation,121
121,Birder,122
122,global ice,123
123,fans,124
124,wildfires,125
125,sea surface,126
126,climate,127
127,sea and,128
128,Global heatwaves,129
129,GMOs,130
130,carbon gases,131
131,operators,132
132,Orbiting,133
133,Global Hawk,134
134,carbon absorption,135
135,fires,136
136,formation,137
137,Global Selfie,138
138,Harvest,139
139,continent,140
140,precipitation data,141
141,carbon in,142
142,failures,143
143,Weather,144
144,Level,145
145,Columbia,146
146,dioxide levels,147
147,Oceans,148
148,Climate,149
149,pollution,150
150,northwest,151
151,global response,152
152,phenomena,153
153,energy,154
154,Estuary,155
155,participation,156
156,Fossil Fuels,157
157,temperature,158
158,Feminism,159
159,Humpback,160
160,Scientist,161
161,carbon and,162
162,Bengal,163
163,Constellation,164
164,Energy,165
165,cleanest,166
166,carbon stored,167
167,carbon storage,168
168,Canada,169
169,negotiations,170
170,obscuring,171
171,ABoVE,172
172,fails,173
173,closest,174
174,northeastern,175
175,global warming,176
176,Forests,177
177,"precipitation,",178
178,global health,179
179,Lydia,180
180,Fossil fuel,181
181,Sustainable Use,182
182,Northwest,183
183,Gyre,184
184,total,185
185,sea level,186
186,Ecosystems,187
187,Ocean,188
188,dire,189
189,AI,190
190,proven,191
191,explain,192
192,mid-2030s,193
193,temperate,194
194,joined,195
195,Implementation,196
196,Sea.,197
197,test,198
198,global economies,199
199,FO,200
200,App,201
201,constellation,202
202,mortality,203
203,ECOSTRESS,204
204,350,205
205,underscores,206
206,family,207
207,fossil capital,208
208,Planet,209
209,E.,210
210,sea ice,211
211,Elevation,212
212,ozone-,213
213,Everest,214
214,Biden,215
215,Carbon offsets,216
216,rover,217
217,ExxonMobil,218
218,fuel,219
219,Institute,220
220,level,221
221,them,222
222,type,223
223,thickness,224
224,Intergovernmental,225
225,Sea April,226
226,Glacier,227
227,precipitation locally,228
228,characterized,229
229,ice,230
230,global surface,231
231,Sure,232
232,carbon frozen,233
233,S.,234
234,Nature,235
235,"sea,",236
236,universe,237
237,Gulf,238
238,fourth,239
239,Greenpeace,240
240,Atlantic,241
241,global carbon,242
242,sea along,243
243,Satellite,244
244,moisture,245
245,EDT,246
246,ocean,247
247,finalise,248
248,Sea level,249
249,dubious,250
250,Global forests,251
251,ecological,252
252,profoundly,253
253,Birding,254
254,Sea Ice,255
255,elections,256
256,Temperature,257
257,severity,258
258,global sea levels,259
259,force,260
260,global cloud,261
261,global impact,262
262,Warrior,263
263,precipitation and,264
264,sea to,265
265,West,266
266,Climatologist,267
267,CitizenClimate,268
268,sea-,269
269,global levels,270
270,blank,271
271,features,272
272,Antarctica,273
273,sustainability,274
274,U.S.,275
275,Carbon Observatory-2,276
276,heat from,277
277,pressure,278
278,Sea from,279
279,pulsations,280
280,Finalist,281
281,Arabia,282
282,Global concentrations,283
283,dramatic,284
284,Environment,285
285,newest,286
286,earliest,287
287,carbon propulsion,288
288,Above,289
289,GPS,290
290,ECOsystem,291
291,heat the,292
292,Deforestation,293
293,missions,294
294,/,295
295,favourite,296
296,Island,297
297,contrails,298
298,fire,299
299,location,300
300,birds,301
301,Guabo,302
302,mapped,303
303,heat between,304
304,find,305
305,global land,306
306,panel,307
307,Aerosols,308
308,Global South,309
309,Europe,310
310,Water,311
311,heat wave,312
312,earth,313
313,civilizations,314
314,Bird,315
315,oceans,316
316,outside,317
317,combined,318
318,measurement,319
319,either,320
320,global outlook,321
321,Glaciers,322
322,fossil fuels,323
323,carbon from,324
324,Ice,325
325,inspire,326
326,brutal,327
327,global vegetation,328
328,Ecosystem,329
329,minimum,330
330,turned,331
331,Fire,332
332,Atlas,333
333,Graeme,334
334,orbit,335
335,explores,336
336,sea creatures,337
337,productivity,338
338,Exxon,339
339,variably,340
340,warned,341
341,Amazon,342
342,efficient,343
343,flooded,344
344,Forest,345
345,rainforest,346
346,salinity,347
347,Sustainable Livelihoods,348
348,Precipitation Measurement Missions,349
349,carbon offsets,350
350,figures,351
351,carbon dioxide,352
352,sea salt,353
353,Green,354
354,largest,355
355,Beijing,356
356,global sea level,357
357,fossil fuel,358
358,aerosols,359
359,exposing,360
360,longest,361
361,BP,362
362,Arctic,363
363,bit,364
364,island,365
365,equatorial,366
366,pools,367
367,carbon uptake,368
368,Endangered,369
369,Environmental,370
370,carbon estimates,371
371,beaches,372
372,exchange,373
373,disturbing,374
374,carbon into,375
375,wildfire,376
376,carbon emissions,377
377,Gary,378
378,element,379
379,transformation,380
380,galactic,381
381,global effects,382
382,figured,383
383,reserve,384
384,phenomenon,385
385,forms,386
386,Starting,387
387,Earth,388
388,Sea ice,389
389,Atmospheric,390
390,blizzards,391
391,habitat,392
392,bird,393
393,extents,394
394,experimental,395
395,entire,396
396,satellite,397
397,Global climate,398
398,biological,399
399,sea water,400
400,Carbon Observatory-3,401
401,Monte,402
402,Japan,403
403,transition,404
404,1/2,405
405,carbon footprint,406
406,global,407
407,mechanisms,408
