,Unnamed: 0.1,Unnamed: 0,subjects,objects,relationships,dates,titles,weight,Year
0,0,0,Conservation,New Quilanga Mu...,https://www.natureandculture.org/new-municipal-conservation-area-quilanga-preserves-water-sources-and-biodiversity/,"May 12, 2022",New Quilanga Municipal Conservation Area Preserves Water Sources and Biodiversity,0, 2022
1,1,1,Water,New Quilanga Mu...,https://www.natureandculture.org/new-municipal-conservation-area-quilanga-preserves-water-sources-and-biodiversity/,"May 12, 2022",New Quilanga Municipal Conservation Area Preserves Water Sources and Biodiversity,2, 2022
2,2,2,Biodiversity,New Quilanga Mu...,https://www.natureandculture.org/new-municipal-conservation-area-quilanga-preserves-water-sources-and-biodiversity/,"May 12, 2022",New Quilanga Municipal Conservation Area Preserves Water Sources and Biodiversity,3, 2022
3,3,3,Ecosystem,Critical Páramo...,https://www.natureandculture.org/gallocantana-conservation-area/,"March 9, 2022",Critical Páramo Ecosystem Receives Highest Legal Protection in Ecuadorian Andes,0, 2022
4,4,4,Water,New Water Prote...,https://www.natureandculture.org/new-water-protection-area-safeguards-water-for-indigenous-guarancas-kichwa/,"January 19, 2022",New Water Protection Area safeguards water for Indigenous Guarancas Kichwa,0, 2022
5,5,5,water,New Water Prote...,https://www.natureandculture.org/new-water-protection-area-safeguards-water-for-indigenous-guarancas-kichwa/,"January 19, 2022",New Water Protection Area safeguards water for Indigenous Guarancas Kichwa,1, 2022
6,6,6,biological,Three Amazonian...,https://www.natureandculture.org/three-amazonian-provinces-take-the-first-step-to-create-the-largest-biological-corridor-of-continuous-forest-in-ecuador/,"January 14, 2022",Three Amazonian Provinces take the first step to create the largest biological corridor of continuous forest in Ecuador,0, 2022
7,7,7,forest,Three Amazonian...,https://www.natureandculture.org/three-amazonian-provinces-take-the-first-step-to-create-the-largest-biological-corridor-of-continuous-forest-in-ecuador/,"January 14, 2022",Three Amazonian Provinces take the first step to create the largest biological corridor of continuous forest in Ecuador,1, 2022
8,8,8,Rainforest,An Expedition i...,https://www.natureandculture.org/safeguarding-the-biocultural-heritage-of-the-aliwa-indigenous-community/,"December 10, 2021",An Expedition into the Aliwa Rainforest: Safeguarding the Biocultural Heritage of the Aliwa-Cupepe Indigenous Community,0, 2021
9,9,9,Forests,Protecting Rare...,https://www.natureandculture.org/cata-declaration/,"July 28, 2021",Protecting Rare Bamboo Forests and Threatened Wildlife in Peru’s Amazon,0, 2021
10,10,10,Amazon,Protecting Rare...,https://www.natureandculture.org/cata-declaration/,"July 28, 2021",Protecting Rare Bamboo Forests and Threatened Wildlife in Peru’s Amazon,1, 2021
11,11,11,Water,A New Protected...,https://www.natureandculture.org/mojanda/,"July 21, 2021","A New Protected Area Secures Water Supplies for 39,000 People",0, 2021
12,12,12,Conservation,A Conservation ...,https://www.natureandculture.org/mazan-upgraded/,"July 2, 2021",A Conservation Area Receives Highest Level of Legal Protection in Ecuador,0, 2021
13,13,13,Level,A Conservation ...,https://www.natureandculture.org/mazan-upgraded/,"July 2, 2021",A Conservation Area Receives Highest Level of Legal Protection in Ecuador,1, 2021
14,14,14,Water,Three New Frog ...,https://www.natureandculture.org/elguabo/,"June 22, 2021","Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area",0, 2021
15,15,15,Guabo,Three New Frog ...,https://www.natureandculture.org/elguabo/,"June 22, 2021","Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area",2, 2021
16,16,16,Conservation,Three New Frog ...,https://www.natureandculture.org/elguabo/,"June 22, 2021","Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area",4, 2021
